model_id,model_name,converged,log_likelihood,minus_log_likelihood,aic,qaic,qaicc,deviance,n_parameters,param_1,param_2,param_3,lambda_mean,lambda_std,lambda_median,lambda_min,lambda_max,lambda_q25,lambda_q75,formula_phi,formula_p,formula_f,phi_(Intercept),phi_(Intercept)_estimate,p_(Intercept),p_(Intercept)_estimate,f_(Intercept),f_(Intercept)_estimate,parameter_names,n_phi_params,n_p_params,n_f_params,parameter_structure,strategy_used,fit_time,random_seed,data_hash,param_4,f_gender,f_gender_estimate,f_age,f_age_estimate,f_tier_history,f_tier_history_estimate,param_5,phi_gender,phi_gender_estimate,param_6,phi_age,phi_age_estimate,phi_tier_history,phi_tier_history_estimate,param_7,delta_aic,aic_weight,evidence_ratio,rank,cumulative_weight,substantial_support,some_support,little_support
28,φ(tier_history) p(1) f(age + tier_history),True,-6158.575195,6158.575195,12329.150391,12329.150391,12329.150391,12317.150391,6,0.098559,832.000166,-0.937033,1.091313,0.0,1.091313,1.091313,1.091313,1.091313,1.091313,~1 + tier_history,~1,~1 + age + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_tier_history; p_(Intercept); f_(Intercept); f_age; f_tier_history,2,1,3,φ(2) p(1) f(3),hybrid_multistart_refined,0.039859,69,f0588040,-2.393468,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,832.000166,832.000166,,4180.061523999999,0.0,inf,21,1.0,False,False,True
1,φ(1) p(1) f(1),True,-7292.18457,7292.18457,14590.369141,14590.369141,14590.369141,14584.369141,3,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept),1,1,1,φ(1) p(1) f(1),hybrid_quick_refined,0.465092,42,f0588040,,,,,,,,,,,,,,,,,6441.280273999999,0.0,inf,22,1.0,False,False,True
2,φ(1) p(1) f(gender),True,-7292.18457,7292.18457,14592.369141,14592.369141,14592.369141,14584.369141,4,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + gender,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_gender,1,1,2,φ(1) p(1) f(2),hybrid_quick_refined,0.042077,43,f0588040,0.0,0.0,0.0,,,,,,,,,,,,,,6443.280273999999,0.0,inf,23,1.0,False,False,True
3,φ(1) p(1) f(age),True,-7292.18457,7292.18457,14592.369141,14592.369141,14592.369141,14584.369141,4,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_age,1,1,2,φ(1) p(1) f(2),hybrid_quick_refined,0.01241,44,f0588040,0.0,,,0.0,0.0,,,,,,,,,,,,6443.280273999999,0.0,inf,24,1.0,False,False,True
4,φ(1) p(1) f(tier_history),True,-7292.18457,7292.18457,14592.369141,14592.369141,14592.369141,14584.369141,4,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_tier_history,1,1,2,φ(1) p(1) f(2),hybrid_quick_refined,0.015837,45,f0588040,0.0,,,,,0.0,0.0,,,,,,,,,,6443.280273999999,0.0,inf,25,1.0,False,False,True
15,φ(age) p(1) f(1),True,-7292.18457,7292.18457,14592.369141,14592.369141,14592.369141,14584.369141,4,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + age,~1,~1,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_age; p_(Intercept); f_(Intercept),2,1,1,φ(2) p(1) f(1),hybrid_quick_refined,0.01295,56,f0588040,-2.393468,,,,,,,,,,,0.0,0.0,,,,6443.280273999999,0.0,inf,26,1.0,False,False,True
8,φ(gender) p(1) f(1),True,-7292.18457,7292.18457,14592.369141,14592.369141,14592.369141,14584.369141,4,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept),2,1,1,φ(2) p(1) f(1),hybrid_quick_refined,0.016781,49,f0588040,-2.393468,,,,,,,,0.0,0.0,,,,,,,6443.280273999999,0.0,inf,27,1.0,False,False,True
5,φ(1) p(1) f(gender + age),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + gender + age,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_gender; f_age,1,1,3,φ(1) p(1) f(3),hybrid_quick_refined,0.088118,46,f0588040,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,6445.280273999999,0.0,inf,28,1.0,False,False,True
6,φ(1) p(1) f(gender + tier_history),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + gender + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_gender; f_tier_history,1,1,3,φ(1) p(1) f(3),hybrid_quick_refined,0.009666,47,f0588040,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,6445.280273999999,0.0,inf,29,1.0,False,False,True
7,φ(1) p(1) f(age + tier_history),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,-0.937033,-2.393468,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1,~1,~1 + age + tier_history,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); p_(Intercept); f_(Intercept); f_age; f_tier_history,1,1,3,φ(1) p(1) f(3),hybrid_quick_refined,0.009862,48,f0588040,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,6445.280273999999,0.0,inf,30,1.0,False,False,True
9,φ(gender) p(1) f(gender),True,-7292.18457,7292.18457,14594.369141,14594.369141,14594.369141,14584.369141,5,0.098559,0.0,-0.937033,0.615932,0.0,0.615932,0.615932,0.615932,0.615932,0.615932,~1 + gender,~1,~1 + gender,0.098559,0.098559,-0.937033,-0.937033,-2.393468,-2.393468,phi_(Intercept); phi_gender; p_(Intercept); f_(Intercept); f_gender,2,1,2,φ(2) p(1) f(2),hybrid_quick_refined,0.475397,50,f0588040,-2.393468,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,6445.280273999999,0.0,inf,31,1.0,False,False,True
