model_name,aic,n_parameters,delta_aic,aic_weight,substantial_support
phi~1 + gender + tier + age_2020_p~1_f~1 + gender,1260513.5,8,45404.0,0.0,False
phi~1 + age_2020_p~1_f~1,1264258.25,4,49148.75,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + tier,1264278.75,7,49169.25,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + gender,1264287.25,6,49177.75,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + gender,1264289.25,7,49179.75,0.0,False
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + tier,1265063.75,10,49954.25,0.0,False
phi~1 + age_2020_p~1_f~1 + tier,1268410.25,6,53300.75,0.0,False
phi~1 + age_2020_p~1_f~1 + gender,1268418.625,5,53309.125,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + gender + tier,1268839.375,9,53729.875,0.0,False
phi~1 + age_2020_p~1_f~1 + gender + tier,1272968.875,7,57859.375,0.0,False
phi~1 + gender + tier_p~1_f~1 + age_2020,1577290.875,7,362181.375,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender + tier + age_2020,1577296.875,10,362187.375,0.0,False
phi~1 + gender_p~1_f~1 + tier + age_2020,1612086.875,7,396977.375,0.0,False
phi~1 + tier_p~1_f~1 + tier + age_2020,1612088.875,8,396979.375,0.0,False
phi~1 + gender_p~1_f~1 + gender + tier + age_2020,1612088.875,8,396979.375,0.0,False
phi~1 + tier_p~1_f~1 + gender + tier + age_2020,1612090.875,9,396981.375,0.0,False
phi~1 + gender + tier_p~1_f~1,1618533.75,6,403424.25,0.0,False
phi~1 + gender + tier_p~1_f~1 + tier,1622685.75,8,407576.25,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender,1622694.0,7,407584.5,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender + tier,1627244.5,9,412135.0,0.0,False
phi~1_p~1_f~1 + gender + age_2020,1649252.0,5,434142.5,0.0,False
phi~1_p~1_f~1 + gender + tier + age_2020,1649256.0,7,434146.5,0.0,False
phi~1 + gender_p~1_f~1,1653326.5,4,438217.0,0.0,False
phi~1 + tier_p~1_f~1,1653328.5,5,438219.0,0.0,False
phi~1 + gender_p~1_f~1 + tier,1657478.75,6,442369.25,0.0,False
phi~1 + tier_p~1_f~1 + tier,1657480.75,7,442371.25,0.0,False
phi~1 + gender_p~1_f~1 + gender,1657487.0,5,442377.5,0.0,False
phi~1 + tier_p~1_f~1 + gender,1657489.0,6,442379.5,0.0,False
phi~1 + gender_p~1_f~1 + gender + tier,1662037.125,7,446927.625,0.0,False
phi~1 + tier_p~1_f~1 + gender + tier,1662039.125,8,446929.625,0.0,False
phi~1_p~1_f~1,1690494.0,3,475384.5,0.0,False
phi~1_p~1_f~1 + tier,1694646.125,5,479536.625,0.0,False
phi~1_p~1_f~1 + gender,1694654.25,4,479544.75,0.0,False
phi~1_p~1_f~1 + gender + tier,1699204.625,6,484095.125,0.0,False
phi~1 + age_2020_p~1_f~1 + age_2020,1998291.75,5,783182.25,0.0,False
phi~1 + age_2020_p~1_f~1 + tier + age_2020,2028171.75,7,813062.25,0.0,False
phi~1 + age_2020_p~1_f~1 + gender + age_2020,2028172.75,6,813063.25,0.0,False
phi~1 + gender + tier_p~1_f~1 + tier + age_2020,2363118.0,9,1148008.5,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender + age_2020,2363119.0,8,1148009.5,0.0,False
phi~1 + gender_p~1_f~1 + age_2020,2367901.25,5,1152791.75,0.0,False
phi~1 + tier_p~1_f~1 + age_2020,2367903.25,6,1152793.75,0.0,False
phi~1 + gender_p~1_f~1 + gender + age_2020,2395950.25,6,1180840.75,0.0,False
phi~1 + tier_p~1_f~1 + gender + age_2020,2395952.25,7,1180842.75,0.0,False
phi~1_p~1_f~1 + age_2020,2403048.5,4,1187939.0,0.0,False
phi~1_p~1_f~1 + tier + age_2020,2430955.0,6,1215845.5,0.0,False
